99;101;14;0.03972;a{0: 42, 1: 58};b{0: 57, 1: 43};end
101;99;10;0.017716;a{0: 58, 1: 42};b{0: 43, 1: 57};end
82;118;5;0.011843;a{0: 34, 1: 66};b{0: 48, 1: 52};end
101;99;9;0.013145;a{0: 58, 1: 42};b{0: 43, 1: 57};end
101;99;7;0.016431;a{0: 58, 1: 42};b{0: 43, 1: 57};end
99;101;6;0.014577;a{0: 42, 1: 58};b{0: 57, 1: 43};end
101;99;14;0.039526;a{0: 58, 1: 42};b{0: 43, 1: 57};end
108;92;7;0.017861;a{0: 61, 1: 39};b{0: 47, 1: 53};end
98;102;7;0.018503;a{0: 55, 1: 45};b{0: 43, 1: 57};end
99;101;11;0.031534;a{0: 42, 1: 58};b{0: 57, 1: 43};end
82;118;8;0.02469;a{0: 34, 1: 66};b{0: 48, 1: 52};end
118;82;8;0.021376;a{0: 66, 1: 34};b{0: 52, 1: 48};end
101;99;7;0.015463;a{0: 58, 1: 42};b{0: 43, 1: 57};end
108;92;14;0.021576;a{0: 61, 1: 39};b{0: 47, 1: 53};end
99;101;8;0.021232;a{0: 42, 1: 58};b{0: 57, 1: 43};end
82;118;8;0.024868;a{0: 34, 1: 66};b{0: 48, 1: 52};end
102;98;9;0.029675;a{0: 45, 1: 55};b{0: 57, 1: 43};end
101;99;12;0.024341;a{0: 58, 1: 42};b{0: 43, 1: 57};end
102;98;8;0.018585;a{0: 45, 1: 55};b{0: 57, 1: 43};end
99;101;16;0.02903;a{0: 42, 1: 58};b{0: 57, 1: 43};end
118;82;8;0.015149;a{0: 66, 1: 34};b{0: 52, 1: 48};end
99;101;7;0.011797;a{0: 42, 1: 58};b{0: 57, 1: 43};end
101;99;14;0.025252;a{0: 58, 1: 42};b{0: 43, 1: 57};end
92;108;11;0.015529;a{0: 39, 1: 61};b{0: 53, 1: 47};end
82;118;8;0.017369;a{0: 34, 1: 66};b{0: 48, 1: 52};end
102;98;6;0.009995;a{0: 45, 1: 55};b{0: 57, 1: 43};end
